"","GEO","Ref_Date","TYPE","STATUS","IMMIGRA","Value","GEO2"
"314","Alberta","2011/2012","University","Full-time student","Total, student status",97089,"AB"
"315","Alberta","2003/2004","College","Total, registration status","Canadian students",52770,"AB"
"316","Alberta","2011/2012","College","Full-time student","Canadian students",34080,"AB"
"317","Alberta","2011/2012","College","Full-time student","International students",2361,"AB"
"318","Alberta","2011/2012","College","Full-time student","Total, student status",36441,"AB"
"319","Alberta","1994/1995","University","Part-time student","Total, student status",16632,"AB"
"320","Alberta","2014/2015","College","Total, registration status","International students",3879,"AB"
"321","Alberta","2014/2015","College","Total, registration status","Total, student status",55179,"AB"
"322","Alberta","2014/2015","University","Full-time student","Canadian students",96588,"AB"
"323","Alberta","2007/2008","College","Part-time student","International students",489,"AB"
"324","Alberta","1992/1993","College","Part-time student","Canadian students",9510,"AB"
"325","Alberta","2008/2009","University","Full-time student","Canadian students",63084,"AB"
"326","Alberta","2008/2009","University","Full-time student","International students",5703,"AB"
"327","Alberta","2008/2009","University","Full-time student","Total, student status",68787,"AB"
"328","Alberta","2011/2012","University","Part-time student","Canadian students",31629,"AB"
"329","Alberta","2011/2012","University","Part-time student","International students",1392,"AB"
"330","Alberta","2011/2012","University","Part-time student","Total, student status",33021,"AB"
"331","Alberta","2001/2002","College","Total, registration status","International students",825,"AB"
"332","Alberta","2003/2004","University","Full-time student","International students",4422,"AB"
"333","Alberta","2007/2008","College","Full-time student","International students",1596,"AB"
"334","Alberta","2007/2008","College","Full-time student","Total, student status",42285,"AB"
"335","Alberta","2007/2008","College","Part-time student","Canadian students",17289,"AB"
"336","Alberta","1992/1993","College","Full-time student","Total, student status",27291,"AB"
"337","Alberta","2010/2011","College","Part-time student","Total, student status",22875,"AB"
"338","Alberta","2010/2011","College","Part-time student","Canadian students",21021,"AB"
"339","Alberta","2003/2004","University","Part-time student","International students",1209,"AB"
"340","Alberta","2003/2004","University","Part-time student","Total, student status",21093,"AB"
"341","Alberta","2009/2010","University","Full-time student","International students",7389,"AB"
"342","Alberta","2005/2006","University","Total, registration status","International students",5478,"AB"
"343","Alberta","2004/2005","College","Total, registration status","Total, student status",61011,"AB"
"344","Alberta","2012/2013","University","Full-time student","Total, student status",98793,"AB"
"345","Alberta","2007/2008","College","Full-time student","Canadian students",40680,"AB"
"346","Alberta","2003/2004","University","Full-time student","Total, student status",65004,"AB"
"347","Alberta","2003/2004","University","Part-time student","Canadian students",19884,"AB"
"348","Alberta","1992/1993","College","Full-time student","International students",507,"AB"
"349","Alberta","2010/2011","College","Part-time student","International students",1854,"AB"
"350","Alberta","2008/2009","College","Total, registration status","Total, student status",62982,"AB"
"351","Alberta","2012/2013","University","Total, registration status","Total, student status",131799,"AB"
"352","Alberta","2011/2012","College","Part-time student","Total, student status",22701,"AB"
"353","Alberta","2006/2007","University","Part-time student","Total, student status",26601,"AB"
"354","Alberta","2008/2009","University","Part-time student","Canadian students",24405,"AB"
"355","Alberta","2008/2009","University","Part-time student","International students",582,"AB"
"356","Alberta","2005/2006","University","Total, registration status","Canadian students",86187,"AB"
"357","Alberta","2004/2005","University","Full-time student","Canadian students",62118,"AB"
"358","Alberta","2008/2009","College","Part-time student","Canadian students",17946,"AB"
"359","Alberta","2011/2012","University","Total, registration status","International students",10386,"AB"
"360","Alberta","2013/2014","College","Full-time student","Canadian students",39072,"AB"
"361","Alberta","2013/2014","College","Full-time student","International students",2931,"AB"
"362","Alberta","2008/2009","College","Total, registration status","International students",2649,"AB"
"363","Alberta","2012/2013","University","Total, registration status","International students",11079,"AB"
"364","Alberta","2011/2012","College","Part-time student","International students",1239,"AB"
"365","Alberta","2006/2007","University","Part-time student","Canadian students",26040,"AB"
"366","Alberta","2008/2009","College","Total, registration status","Canadian students",60330,"AB"
"367","Alberta","1994/1995","College","Total, registration status","Canadian students",39828,"AB"
"368","Alberta","1994/1995","College","Total, registration status","International students",549,"AB"
"369","Alberta","1994/1995","College","Total, registration status","Total, student status",44112,"AB"
"370","Alberta","1994/1995","University","Full-time student","Canadian students",48447,"AB"
"371","Alberta","2004/2005","University","Full-time student","International students",4611,"AB"
"372","Alberta","2008/2009","College","Part-time student","International students",738,"AB"
"373","Alberta","2008/2009","College","Part-time student","Total, student status",18681,"AB"
"374","Alberta","1993/1994","College","Full-time student","International students",390,"AB"
